Order_all,Family_all,Genus_all,Species_all,subspecies,species_geonet,sex_or_flower_type,breeding_system,autonomous_selfing_level (none/low/medium/high),compatibility,compatibility_genus,info_level,asexual_reproduction,asexual_reproduction_type,agamospermy/apomixis (yes/no/some_populations),parasitic (yes/no),flower_colour ,flower_morphology,flower_pollinator_morphology,flower_symmetry,corolla_diameter_mean_mm,corolla_diameter_min_mm,corolla_diameter_max_mm,corolla_length_mean_mm,corolla_length_min_mm,corolla_length_max_mm,tube_length_mm,life_form,lifespan,plant_height_min_m,plant_height_max_m,plant_height_mean_m,references,reference_journal,doi,doi,doi,doi,doi,type_of_proxy_seed _or_fruit,open_pollination_percentage,open_pollination_n,hand_poll_outcrossing_percentage,hand_poll_outcrossing_percentage_n,hand_poll_self_percentage,hand_poll_self_n,spontaneus_selfing_percentage,spontaneus_selfing_n,geitonogamy_percentage,geitonogamy_n,apomixis_percentage,apomixis_n,intramorph_percentage,intramorph_n,stamen_length_mm,stamen_length_min_mm,stamen_length_max_mm,style_length_mm,style_length_min_mm,style_length_max_mm,ovary_length_mm,ovary_min_mm,ovary_max_mm,stigma_length_mm,stigma_min_mm,stigma_max_mm,pistil_length_mm,pistil_min_mm,pistil_max_mm,inflorescence_form,inflorescence_arrangement,inflorescence_length_mm,inflorescence_width_mm,inflorescence_comment,pollen_anther_mean,pollen_anther_sd,pollen_anther_n,pollen_flower_mean,pollen_flower_min,pollen_flower_max,pollen_flower_sd,pollen_flower_n,pollen_ovule_ratio,pollen_ovule_ratio_sd,ovules_mean,ovules_sd,ovules_n,stamen_mean,anthers_exerted_yes_or_no,anthers_exerted_mm,pistil_mean,stigma_mean,stigma_exerted_yes_or_no,stigma_exerted_mm,flowers_inflorescences_min,flowers_inflorescences_max,flowers_inflorescences_mean,inflorescences_plant_min,inflorescences_plant_max,inflorescences_plant_mean,flower_plant_min,flower_plant_max,flower_plant_mean,flower_lifespan_days,flowering_time_days,nectar_yes_or_no,nectar_ul_day_mean,nectar_ul_day_sd,nectar_ul_day_n,total_nectar_ul_mean,total_nectar_ul_sd,total_nectar_ul_n,sugar_nectar_mg_mean,sugar_nectar_mg_sd,sugar_nectar_mg_n,sugar_concentration_mean,sugar_concentration_sd,sugar_concentration_n,fruit_type,fruit_colour,fruit_length_mm,fruit_width_mm,pollen_polar_length_um_mean,pollen_polar_length_um_min,pollen_polar_length_um_max,pollen_equatorial_length_mean_um ,pollen_equatorial_length_min_um,pollen_equatorial_length_max_um,pollen_polar_equatorial,mean_pollen_tube_growth_um_min,chromosome number,ploidy,location,country,references,reference_journal,doi,doi,doi,doi,doi,
Fabales,Fabaceae,Zuccagnia,Zuccagnia punctata,NA,Zuccagnia punctata,bisexual,hermaphrodite,none,self_incompatible,NA,flower,no,NA,NA,,yellow,disk,disk,zygomorphic,20,NA,NA,10,NA,NA,NA,shrub,perennial,1,5,3,gagnon & queiroz 2016; simpson 1977,journal: phytokeys; journal: oecologia,https://doi.org/10.3897/phytokeys.71.9203ÿ,https://doi.org/10.1007/bf00347467ÿ,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,yes,,1,1,yes,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gagnon & queiroz 2016; simpson 1977,phytokeys; oecologia,https://doi.org/10.3897/phytokeys.71.9203ÿ,https://doi.org/10.1007/bf00347467ÿ,,,,
Rosales,Rhamnaceae,Ziziphus,Ziziphus mistol,NA,Ziziphus oblongifolius,bisexual,protandrous,none,partially_self_incompatible,NA,flower,NA,NA,no,,yellowish green,bowl,bowl,actinomorphic,5,4,6,1,NA,NA,NA,tree,perennial,4,15,9.5,"cerino et al., 2015",journal: flora,10.1016/j.flora.2014.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosales,Rhamnaceae,Ziziphus,Ziziphusÿcotinifolia,,Ziziphus cotinifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apiales,Apiaceae,Zizia,Zizia aurea,NA,Zizia aurea,bisexual,hermaphrodite,NA,self_compatible,NA,flower,NA,NA,NA,,yellow,tube,tube,actinomorphic,3,NA,NA,6,NA,NA,6,herb,perennial,0.3,0.8,0.55,molano-flores 2004; NA; NA,journal: transactions of the illinois state academy of science; online: https://www.minnesotawildflowers.info; online: https://gobotany.newenglandwild.org,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apiales,Apiaceae,Zizia,Zizia aptera,,Zizia aptera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brassicales,Brassicaceae,Zilla,Zilla spinosa,,Zilla spinosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cucurbitales,Cucurbitaceae,Zehneria,Zehneria mucronata,NA,Metothria tiukiuensis,separated,dioecious,none,dioecious,NA,male_flower,NA,NA,NA,,white,campanulate,campanulate,actinomorphic,8,NA,NA,8,NA,NA,NA,vine,perennial,NA,5,2.5,van der ham & pruesapan 2006,journal: grana,https://doi.org/10.1080/00173130600874834,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cyme,axilar,15,10,NA,NA,NA,NA,NA,,,NA,NA,NA,,NA,NA,NA,5,no,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,29,NA,NA,0.96,NA,NA,NA,NA,NA,van der ham & pruesapan 2006,grana,https://doi.org/10.1080/00173130600874834,,,,,
Cucurbitales,Cucurbitaceae,Zehneria,Zehneria mucronata,NA,Metothria tiukiuensis,separated,dioecious,none,dioecious,NA,female_flower,NA,NA,NA,,white,campanulate,campanulate,actinomorphic,5,NA,NA,4,NA,NA,NA,vine,perennial,NA,5,2.5,NA,online: efloras.org,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45,NA,NA,0.4,NA,NA,0.4,NA,NA,3,NA,NA,cyme,axilar,15,10,NA,NA,NA,NA,NA,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,1,3,no,0,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,berry,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,online: efloras.org,NA,,,,,
Poales,Poaceae,Zea,Zea mays,NA,Zea mays,separated,monoecious,none,self_compatible,NA,flower,NA,NA,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,annual,2,3,2.5,vincent 2012; NA; shivanna & sawhney 1997,journal: plant science; online: http://www.tropicalforages.info; book: pollen biotechnology for crop production and improvement,https://doi.org/10.1002/9780470015902.a0003687.pub2,NA,ISBN: 052147180X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapindales,Rutaceae,Zanthoxylum,Zanthoxylum americanum,NA,Zanthoxylum americanum,separated,dioecious,none,dioecious,NA,male_flower,yes,apomixis and underground runners,yes,,green,exposed,exposed,actinomorphic,6,NA,NA,6,NA,NA,NA,shrub,perennial,1.2,7.6,4.4,NA; NA,online: https://www.friendsofthewildflowergarden.org; online: https://www.illinoiswildflowers.info,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
