Species_geonet,Unique_id,Locality,Latitude,Longitude,Order_all,Family_all,Genus_all,Species_all,Subspecies,Sex_or_flower_type,Breeding_system,Autonomous_selfing_level,Autonomous_selfing_level_data_type,Autonomous_selfing_level_fruit_set,Autonomous_selfing_level_seed_set,autonomous_selfing_sample_size,Compatibility,Self_compatible_author,Self_compatible_reference,Self_compatible_doi,Compatibility_genus,Info_level,Asexual_reproduction,Asexual_reproduction_type,Agamospermy/apomixis (yes/no/some_populations),Flower_colour,Flower_morphology,Flower_symmetry,Corolla_diameter_mean,Corolla_diameter_min,Corolla_diameter_max,Corolla_length_mean,Corolla_length_min,Corolla_length_max,Tube_length,style_length_mm,style_length_min_mm,style_length_max_mm,style_length_max_sd,style_length_max_N,ovules_mean,ovules_min,ovules max,ovules_sd,ovules_n,life_form,lifespan,plant_height_min_m,plant_height_max_m,plant_height_mean_m,References,Reference_info,DOI,doi__1,doi__2,doi__3,doi__4,type_of_proxy_seed _or_fruit,open_pollination_percentage,open_pollination_n,hand_poll_outcrossing_percentage,hand_poll_outcrossing_percentage_n,hand_poll_self_percentage,hand_poll_self_n,spontaneus_selfing_percentage,spontaneus_selfing_n,geitonogamy_percentage,geitonogamy_n,apomixis_percentage,apomixis_n,intramorph_percentage,intramorph_n,stamen_length_mm,stamen_length_min_mm,stamen_length_max_mm,style_length_mm,style_length_min_mm,style_length_max_mm,style_length_max_sd,style_length_max_N,ovary_length_mm,ovary_min_mm,ovary_max_mm,stigma_length_mm,stigma_min_mm,stigma_max_mm,pistil_length_mm,pistil_min_mm,pistil_max_mm,inflorescence_form,inflorescence_arrangement,inflorescence_length_mm,inflorescence_width_mean_mm,inflorescence_width_min_mm,inflorescence_width_max_mm,inflorescence_comment,pollen_anther_mean,pollen_anther_min,pollen_anther_max,pollen_anther_sd,pollen_anther_n,pollen_flower_mean,pollen_flower_min,pollen_flower_max,pollen_flower_sd,pollen_flower_n,pollen_ovule_ratio,pollen_ovule_ratio_sd,ovules_mean,ovules_min,ovules max,ovules_sd,ovules_n,stamen_mean,stamen_min,stamen_max,anthers_exerted_yes_or_no,anthers_exerted_mm,pistil_mean,stigma_mean,stigma_exerted_yes_or_no,stigma_exerted_mm,flowers_inflorescences_min,flowers_inflorescences_max,flowers_inflorescences_mean,inflorescences_plant_min,inflorescences_plant_max,inflorescences_plant_mean,flower_plant_min,flower_plant_max,flower_plant_mean,flower_lifespan_days,flowering_time_days,nectar_yes_or_no,nectar_ul_day_mean,nectar_ul_day_sd,nectar_ul_day_n,total_nectar_ul_mean,total_nectar_ul_sd,total_nectar_ul_n,sugar_nectar_mg_mean,sugar_nectar_mg_sd,sugar_nectar_mg_n,sugar_concentration_mean,sugar_concentration_sd,sugar_concentration_n,fruit_type,fruit_colour,fruit_length_mm,fruit_width_mm,pollen_polar_length_um_mean,pollen_polar_length_um_min,pollen_polar_length_um_max,pollen_equatorial_length_mean_um,pollen_equatorial_length_min_um,pollen_equatorial_length_max_um,pollen_polar_equatorial,mean_pollen_tube_growth_um_min,chromosome number,ploidy,location,country,references__1,reference_journal__1,doi__5,doi__6,doi__7,doi__8,doi__9
Urospermum picrioides,bartomeus_2008_bat1ca.csv,Spain,42.315336,3.296797,Asterales,Asteraceae,Urospermum,Urospermum picroides,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,capitulum,NA,NA,NA,yellow,capitulum,actinomorphic,20,NA,NA,17.5,15,20,NA,10.5,10,11,NA,NA,NA,NA,NA,NA,NA,shrub,perennial,0.4,2,1.2,NA,online: https://www.gbif.org/,NA,,,,,,,,,,,,,,,,,,,,,,,10.5,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urospermum picrioides,bartomeus_2008_bat1ca.csv,Spain,42.315336,3.296797,Asterales,Asteraceae,Urospermum,Urospermum picroides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,disc_floret,NA,NA,NA,yellow,exposed,actinomorphic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,online: https://www.gbif.org/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urospermum picrioides,bartomeus_2008_bat1ca.csv,Spain,42.315336,3.296797,Asterales,Asteraceae,Urospermum,Urospermum picroides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ray_floret,NA,NA,NA,yellow,exposed,zygomorphic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,online: https://www.gbif.org/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daucus carota carota,bartomeus_2008_fra1op.csv,Spain,42.315336,3.296797,Apiales,Apiaceae,Daucus,Daucus carota,NA,separated & bisexual,andromonoecious,none,quantitative,0,0,1954,self_compatible,"perez-banon, petanidou & marcos-garcia 2006",journal: plant ecology ,10.1007/s11258-006-9233-1,NA,flower,NA,NA,no,white,bowl,zygomorphic,5.5,4,7,1.5,NA,NA,NA,1.15,0.8,1.5,NA,NA,2,NA,NA,NA,NA,herb,annual_biennial,0.3,0.7,0.5,"koul, koul & hamal 1988; NA; NA",journal: new phytologist; online: http://www.luontoportti.com/; online: http://www.floranordica.org/,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equium sabulicola,bartomeus_2008_fra1op.csv,Spain,42.315336,3.296797,Boraginales,Boraginaceae,Echium,Echium sabulicola,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,purple,tube,zygomorphic,6,NA,NA,17,12,22,17,20,18,22,NA,NA,NA,NA,NA,NA,NA,,,,,,NA; NA; delage 2018,online: http://www.maltawildplants.com/; online: http://www.floraiberica.es/; journal: candollea,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eryngium campestre,bartomeus_2008_fra1op.csv,Spain,42.315336,3.296797,Apiales,Apiaceae,Eryngium,Eryngium campestre,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,green,tube,actinomorphic,1.5,NA,NA,2.5,NA,NA,2.5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,,,,,,reed 1977; NA,book: economically important foreign weeds; online: http://www.floraiberica.es/,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sedum sediforme,bartomeus_2008_fra1op.csv,Spain,42.315336,3.296797,Saxifragales,Crassulaceae,Sedum,Sedum sediforme,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,,flower,NA,NA,NA,white,disk,actinomorphic,12.6,NA,NA,3,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,online: http://www.maltawildplants.com/,NA,,,,,,,,,,,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cabrera 1950,brittonia,https://doi.org/10.2307/2804930,,,,
Cistus albidus,bartomeus_2008_med1ca.csv,Spain,42.315336,3.296797,Malvales,Cistaceae,Cistus,Cistus albidus,NA,bisexual,hermaphrodite,none,quantitative,0,0,217,self_incompatible,blasco & mateu ,journal: acta botanica gallica,10.1080/12538078.1995.10515713,NA,flower,no,NA,no,pink,disk,actinomorphic,50,40,60,7,NA,NA,NA,NA,NA,NA,NA,NA,94.78,NA,NA,14.3,9,,,,,,blasco & mateu 2013; onate & munne-bosch 2010; NA; NA; bosch 1992,journal: acta botanica gallica; journal: plant biology; online: https://www.florealpes.com/ *flower size*; online: http://www.floraiberica.es/ *height*; journal: botanical journal of the linnean society,10.1080/12538078.1995.10515713,https://doi.org/10.1111/j.1438-8677.2009.00246.x,NA,NA,https://doi.org/10.1111/j.1095-8339.1992.tb00257.x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cistus monspeliensis,bartomeus_2008_med1ca.csv,Spain,42.315336,3.296797,Malvales,Cistaceae,Cistus,Cistus monspeliensis,NA,bisexual,hermaphrodite,none,quantitative,0,0,48,self_incompatible,bosch 1992,journal: botanical journal of the linnean society,10.1111/j.1095-8339.1992.tb00257.x,NA,flower,no,NA,no,white,disk,actinomorphic,15,10,20,,NA,NA,NA,0.25,0,0.5,NA,NA,20.67,NA,NA,1.83,9,,,,,,NA; bosch 1992,online: http://www.efloras.org/; journal: botanical journal of the linnean society,NA,https://doi.org/10.1111/j.1095-8339.1992.tb00257.x,,,,,,,,,,,,,,,,,,,,,,0.25,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cistus salvifolius,bartomeus_2008_med1ca.csv,Spain,42.315336,3.296797,Malvales,Cistaceae,Cistus,Cistus salviifolius,NA,bisexual,hermaphrodite,none,quantitative,0,0,17,partially_self_incompatible,herrera 1987,journal: anales jardin botanico madrid,NA,NA,flower,no,NA,no,white,disk,actinomorphic,20,15,25,5,NA,NA,NA,NA,NA,NA,NA,NA,76.89,NA,NA,9.42,9,shrub,perennial,0.4,1.5,0.95,NA; herrera 1987; bosch 1992,"online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society",NA,NA,https://doi.org/10.1111/j.1095-8339.1992.tb00257.x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mauritius,republic of mauritius,"radcliffe-Smith, 1989",kew bulletin vol 44 n 2,https://doi.org/10.2307/4110807,,,,
Dorichnium pentaphylum,bartomeus_2008_med1ca.csv,Spain,42.315336,3.296797,Fabales,Fabaceae,Dorycnium,Dorycnium pentaphyllum,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,,NA,NA,pink,tube,zygomorphic,3.5,NA,NA,4.5,3,6,4.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,online: https://www.turkiyebitkileri.com/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linum sp.,bartomeus_2008_med1ca.csv,Spain,42.315336,3.296797,Malpighiales,Linaceae,Linum,Linum sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,perennial,0.2,0.9,0.55,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosmarinus officinalis,bartomeus_2008_med1ca.csv,Spain,42.315336,3.296797,Lamiales,Lamiaceae,Rosmarinus,Rosmarinus officinalis,NA,bisexual,hermaphrodite,low,qualitative,NA,NA,NA,self_compatible,hidalgo & hubera 2001,journal: the international journal of developmental biology,10.1111/plb.12686,NA,flower,yes,NA,no,purple,tube,zygomorphic,15,NA,NA,15,5,25,7,15,NA,NA,NA,NA,8,NA,NA,NA,NA,,,,,,hidalgo & ubera 2001; NA,"journal: the international journal of developmental biology *breeding system, compatibility*; online: https://www.cabi.org/ *life form, height*",NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicea lutea,bartomeus_2008_med1ca.csv,Spain,42.315336,3.296797,Fabales,Fabaceae,Vicia,Vicia lutea,NA,bisexual,hermaphrodite,high,qualitative,NA,NA,NA,self_compatible,bennett 1999,book: genetic resources of mediterranean pasture and forage legumes  ,NA,NA,flower,NA,NA,NA,white_yellow,tube,zygomorphic,11.25,NA,NA,22.5,20,25,11.25,NA,NA,NA,NA,NA,4.5,4,5,NA,NA,NA,NA,NA,NA,NA,bok & gazzah 2008; NA; gunn 1927,"journal: international journal of integrative biology *breeding system, compatibility*; online: http://www.florabeilles.org/ ; book: seeds of nature and naturalized vetches of north america ",NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brassica fruticulosa,bartomeus_2008_miq1op.csv,Spain,42.315336,3.296797,Brassicales,Brassicaceae,Brassica,Brassica fruticulosa,NA,bisexual,hermaphrodite,none,quantitative,0,NA,42,self_incompatible,"niemann, kotlarski & wojciechowski 2014",journal: acta scientiarum polonorum seria agricultura,NA,NA,flower,no,NA,no,yellow,tube,actinomorphic,15,NA,NA,5.5,NA,NA,5.5,NA,NA,NA,NA,NA,20.2,NA,NA,NA,NA,shrub,perennial,NA,NA,2,NA; NA,online: http://plantnet.rbgsyd.nsw.gov.au/; online: https://www2.palomar.edu/; journal: plosone,NA,NA,10.1371/journal.pone.0174176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psoralea bituminosa,bartomeus_2008_miq1op.csv,Spain,42.315336,3.296797,Fabales,Fabaceae,Bituminaria,Bituminaria bituminosa,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,self_compatible,"correal et al., 2008",journal: options meditarreennes,NA,NA,flower,NA,NA,,purple,tube,zygomorphic,2.5,NA,NA,11.5,NA,NA,11.5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,herb,annual,0.1,0.45,0.275,NA,online: http://www.herbiguide.com.au/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
