Table S1: SI-SC and D-P Character State Table,,,,
Taxon,SI-SC State,D-P State,SI-SC Source,D-P Source
Petunia bajeensis,SI,D,[91],[34]
Petunia bonjardinensis,SI,D,[91],[34]
Petunia exserta,SC,D,[91],[12]
Petunia guarapuavensis,SI,D,[91],[34]
Petunia in ata,SI,D,[91],[34]
Petunia integrifolia,SI,D,[91],[34]
Petunia interior,SI,D,[91],[34]
Petunia littoralis,SI,D,[91],[34]
Petunia mantiqueirensis,SI,D,[91],[34]
Petunia occidentalis,SC,D,[91],[12]
Petunia reitzii,"SI , SC",D,[91],[34]
Petunia riograndensis,SI,D,[91],[34]
Petunia saxicola,SI,D,[91],[34]
Petunia scheideana,SI,D,[91],[34]
Physalis angulata,SC,P,[57],"[34, 57]"
Physalis cinerascens,SI,D,[81],[81]
Physalis crassifolia,SI,D,[57],[57]
Physalis heterophylla,SC,D,[57],"[34, 57]"
Physalis pubescens,SC,D,[57],[57]
Physalis longifolia,SI,D,"[50, 55]",[34]
Physalis philedelphica,SI,D,[71],[34]
Physalis viscosa,SI,D,[66],[34]
Salpichroa origanifolia,SI,D,[66],[34]
Solanum abutiloides,SC,D,[100],[3]
Solanum aculeastrum,SC,D,[21],[1]
Solanum aethiopicum,SC,D,[100],[78]
Solanum agrimonifolium,SCy,P,"[86, 53]",[3]
Solanum allophyllum,SC,D,[16],[34]
Solanum amotapense,SC,D,[19],[3]
Solanum anguivi,SC,D,[93],[34]
Solanum aphyodendron,SC,D,[93],[3]
Solanum arcanum,"SI , SC",D,[75],[3]
Solanum atropurpureum,SC,D,[100],[3]
Solanum aviculare,SC,P,[100],[34]
Solanum basendopogon,SI,D,[100],[13]
Solanum betaceum,SC,D,[17],[3]
Solanum bulbocastanum,"SI , SC","D , P","[41, 86, 39]","[41, 34]"
Solanum cajanumense,SC,D,[17],[3]
Solanum campanulatum,SC,"D , P",[100],[78]
