Taxon,SI-SC State,D-P State,SI-SC Source,D-P Source
Atropa belladonna,SC,P,[33],[34]
Calibrochoa calycina,SI,D,[92],[12]
Calibrachoa dusenii,SI,D,[92],[12]
Calibrachoa eglandulata,SI,D,[92],[12]
Calibrachoa elegans,SI,D,[92],[12]
Calibrachoa ericaefolia,SI,D,[92],[12]
Calibrachoa heterophylla,SI,D,[92],[12]
Calibrochoa linearis,SI,D,[92],[34]
Calibrochoa linoides,SI,D,[92],[12]
Calibrachoa macrodactylon,SI,D,[92],[12]
Calibrachoa micrantha,SI,D,[92],[12]
Calibrachoa parvi ora,SC,D,[92],[12]
Calibrachoa pygmaea,SI,D,[92],[12]
Calibrachoa rupestris,SI,D,[92],[12]
Calibrachoa selloviana,SI,D,[92],[12]
Calibrachoa sendtneriana,SI,D,[92],[12]
Calibrachoa serrulata,SI,D,[92],[12]
Calibrachoa thymifolia,SI,D,[92],[12]
Capsicum annum,SC,D,[70],[68]
Capsicum baccatum,SC,D,[70],[68]
Capsicum cardenasii,"SI , SC",D,[70],[68]
Capsicum chacoense,SC,D,[70],[68]
Capsicum chinense,SC,D,[70],[68]
Capsicum eximium,SC,D,[70],[68]
Capsicum frutescens,SC,D,[70],[68]
Capsicum galapagoense,SC,D,[70],[68]
Capsicum pubescens,"SI , SC",D,[70],[67]
Capsicum rhomboideum,SC,D,[70],[68]
Capsicum torvarii,SC,D,[70],[68]
Datura ceratocaula,SC,D,[23],[23]
Datura discolor,SC,D,[23],[23]
Datura ferox,SC,D,[23],[23]
Datura inoxia,SC,D,[23],[23]
Datura metel,SC,D,[23],[23]
Datura stramonium,SC,D,[23],[34]
Datura wrightii,SC,D,[23],[34]
Dunalia brachyacantha,SI,D,[84],[34]
