,Agauria salicifolia,Antidesma madagascariense,Antirhea borbonica,Aphloia theiformis,Badula insularis,Badula platiphylla,Bakerella hoyifolia,Bertiera zaluzania ,Calophyllum eputamen,Casearia coriacea,Chassalia coriacea,Chassalia petrinensis,Claoxylon linostachys,Coffea macrocarpa,Coffea mauritiana,Colea colei,Cordemoya integrifolia,Croton fothergillifolius,Diospyros revaughanii,Dodonaea viscosa ,Doratoxylon apetalum,Dracaena reflexa,Embelia angustifolia,Erythrospermum monticolum,Erythroxylum macrocarpum,Eugenia orbiculata,Euodia chapelieri,Euodia obtusifolia,Euodia obtusifolia,Faujasiopsis flexuosa,Flagellaria indica,Gaertnera petrinensis,Gaertnera psychotrioides,Gaertnera rotundifolia,Geniostoma borbonicum,Grangeria borbonica,Helichrysum proteoides,Labourdonnaisia callophylloides,Memecylon ovatifolium,Mimusops erythroxylon,Molinaea alternifolia,Monimiastrum globosum,Ochna mauritiana,Ocotea laevigata,Olea lancea,Pandanus barklyi,Pandanus rigidifolius,Pandanus wiehii,Phyllanthus phillyreifolius,Pittosporum senacia,Pleurostylia leucocarpa ,Polyscias mauritiana,Psiadia terebinthina,Pyrostria fasciculata,Roussea simplex ,Sideroxylon cinereum,Sideroxylon puberulum,Smilax anceps,Stillingia lineata,Syzygium commersonii,Syzygium coriaceum,Syzygium glomeratum,Syzygium mauritianum,Syzygium petrinese,Syzygium venosum,Tabernaemontana persicarifolia,Tambourissa peltata,Toddalia asiatica,Tristhema mauritiana,Trochetia blackburniana,Turraea rigida,Warneckea trinervis,Xylopia lamarckii,Xyris sp
Acalyptrate sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336521739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achaea finita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acopsis viridicans,0,0,0,0,0,0,0,0,0,0,0,0,0.022299517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334318841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aganais borbonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrostis atritegulator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahasverus advena,0,0,0,0,0,0.000734299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001831884,0,0,0,0,0,0,0,0,0,0.006502835,0,0,0,0,0,0.019130435,0,0,0,0,0.018937198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allograpta nasuta,0,0,0,0.134911153,0,0,0,0.008809838,0,0,0.016066253,0,0.035838509,0.004565218,0.002809365,0,0,0.059661836,0,0,0,0.005695398,0,0.003816425,0.013175231,0,0,0,0,0,0,0,0,0.004985507,0.012336232,0,0,0,0.002198901,0,0,0.000144928,0,0,0,0,0,0,0,0,0,0,0.334318841,0,0.008623189,0,0.001014493,0,0.078521739,0,0,0,0,0,0,0,0,0.000892754,0,0,0,0.013681159,0,0
Allograpta sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002318841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allograpta sp 2,0,0,0,0.16352867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthomyia faciata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038325282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
