Species names,Antidesma madagascariense,Antirhea borbonica,Aphloia theiformis,Ardisia crenate,Badula insularis,Badula platiphylla,Bertiera zaluzania,Calophyllum eputamen var eputamen,Casearia coriacea,Chassalia coriacea var coriacea,Claoxylon linostachys ssp brachyphyllum,Clidemia hirta,Coffea macrocarpa,Coffea mauritiana,Cordemoya integrifolia,Croton fothergillifolius,Croton grangeroides,Diospyros revaughanii,Dodonaea viscosa ,Doratoxylon apetalum var diphyllum,Dracaena reflexa var angustifolia,Embelia angustifolia,Erythrospermum monticolum var monticolum,Erythroxylum macrocarpum,Eugenia orbiculata,Euodia chapelieri var chapelieri,Euodia obtusifolia ssp gigas var gigas,Faujasiopsis flexuosa ssp erecta,Flagellaria indica,Gaertnera psychotrioides/edentata,Gaertnera rotundifolia,Grangeria borbonica,Harungana madagascariensis,Helichrysum proteoides,Homalanthus populifolius,Labourdonnaisia callophylloides,Molinaea alternifolia,Molinaea macrantha,Myonima violacea var ovata,Ochna mauritiana,Olea lancea,Ossaea marginata,Phyllanthus phillyreifolius var telfairianus,Pittosporum senacia,Psathura terniflora,Psiadia terebinthina,Psidium cattleianum,Rubus alcefolius,Sideroxylon cinereum,Sideroxylon puberulum,Smilax anceps,Stillingia lineata ssp lineata,Syzygium commersonii,Syzygium coriaceum,Syzygium glomeratum,Syzygium petrinese,Tabernaemontana persicarifolia,Toddalia asiatica,Tristhema mauritiana,Trochetia blackburniana,Turraea rigida,Warneckea trinervis,Wikstroemia indica,Xylopia lamarckii ,,,,,,,,,
Agathidinae sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01105314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Ahasverus advena Waltle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016425121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01944664,0,0.001545894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015357718,0,0,0,0,0,0.096106281,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Allograpta nasuta Marquart,0,0.695630826,0.011153623,0,0,0,0.005769231,0,0,0.013664596,0,0,0,0,0,0.008048309,0,0,0,0,0.000869565,0,0,0.014126524,0,0,0,0,0,0.04515942,0,0.001545894,0,0,0.025555995,0,0.023211594,0.000703934,0.013204509,0.041739131,0.036376812,0,0,0,0,0.134380032,0.27726087,0,0.042543478,0,0,0.355004833,0,0,0,0,0,0.000711462,0,0,0,0,0,0,,,,,,,,,
Apis mellifera Linnaeus,0,0.076150725,1.390866346,0,0,0,0.084591974,0.028847482,0.00352577,0.003400966,0,0,0,0,0,0.004927536,0.000745342,0.002737519,0,0,0.001449276,0,0,0.004405797,0,0,0,0.004830918,0,0.187389987,0,0.02493171,0,0.037065217,0,0.547111695,0.207088475,0,0.216199825,0.24383833,0.005389157,0,0,0,0,0.488375431,0.475304348,0.009043479,5.028188721,4.44209869,0,0,0,0,0,0.010084034,0,0,0,0.003623188,0,0.00691539,0,0,,,,,,,,,
Atherigona orientalis Schiner ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041325052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Brachymyrmex sp ,0,0,0.769875777,0,0,0.002434783,0,0,0,0,0,0,0.003826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004173913,0,0,0,0,0.007039337,0.074275363,0,0,0,0,0,0,1.739867786,0,0,0,0.180797102,0,0.52956522,0,0.318681574,0.001971014,0,0,0.000869565,0,0,0,0,0,0,,,,,,,,,
Calopsilia florella Fabricius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00489533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Campopleginae sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024196597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Cerambycidae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078903356,0,0,0,0,0,0.05884058,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Cerambycidae sp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006570048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Cerambycidae sp 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039227053,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Ceratitis roas Karsch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161256039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Chaetocnema sp 1,0.030144928,0.200396644,0.600171153,0,0.00115942,0.009789932,0,0.007342995,0,0,0,0,0.002943144,0,0.01242236,0.448145742,0.163150765,0,0.218115944,0,0,0,0,0.153643436,0,0.002091641,0.000507246,0.006247067,0.018086957,0.146004141,0,0.018506556,0.01252174,0.225921325,0.479987817,0.032463768,0.183482126,0,0,0.807964715,0.366243574,0,0.012714352,0,0,1.325915562,1.887385783,0,0.04537971,0,0,4.381661857,0,0.208037727,0,0,0.005714286,0.050295652,0,0,0,0,0.222847021,0,,,,,,,,,
Cheloninae sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014570048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Cheloninae sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010838059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Chrysomya megacephala Fabricius,0,0,0.061954539,0,0,0,0,0,0,0,0,0,0,0,0,0.009468599,0.008253112,0,0,0,0.000144928,0,0,0,0,0,0,0,0,0.077246377,0,0.000185507,0,0.076424948,0,0,0.055265701,0,0,0.023188406,0,0,0,0,0,0.075252818,0.132028986,0,0.231355487,0.141021739,0.000298137,0.41188406,0,0.013268921,0,0,0,0.001422925,0,0,0,0,0,0,,,,,,,,,
Cixiidae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017246377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Cixiidae sp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004154589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Cotesia sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008623189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
