"","Agrius convolvuli","Amblypsilopus (?) nr. simplex","Apidae sp1","Apis mellifera adansonii","Beetle sp15","Beetle sp8","Cenophodes tamsi","Ceratina tabescens","Chalcidoma disjunctum","Cratopus aurostriatus","Curculionidae sp12","Curculionidae sp9","Dermestidae sp1","Dermestidae sp2","Dichaetomyia fasciculifera","Eagris sabadius maheta","Elateroidea sp2","Elateroidea sp3","Eristalinus vicarians","Eristalodes seychellarum","Euodynerus cylindricus","Fly sp1","Fly sp13","Fly sp16","Fly sp18","Fly sp19","Fly sp2","Fly sp21","Fly sp22","Fly sp26","Fly sp29","Fly sp30","Fly sp31","Fly sp4","Forcipomyia (Euprojoannisia) sp1","Forcipomyia (Thyridomyia) litoraurea","Foudia madagascariensis","Geron seychellarum","Halictidae sp1","Hemipyrellia germana","Hemipyrellia sp.","Hymenoptera sp1","Hymenoptera sp2","Hymenoptera sp3","Hymenoptera sp4","Lampides boeticus","Lasioglossum mahense","Leptotes pirithous","Lygistorrhina sp","Mabuya sechellensis","Megachile seychellensis","Melanostoma annulipes","Mordellidae sp11","Musca domestica","near Eurycratus sp1 ","Neavella albipectus","Nectarinia dussumieri","Neophyllomyza approximatonervis","Nitidulidae sp1","Ornidia obesa","Pachycerina seychellensis","Parasarcophaga hirticeps","Perissoma aenescens","Phalanta phalantha aethiopica","Phelsuma sp","Physiphoa azurea ","Plagiostenopterina cyanosoma","Polistes olivaceus","Rhiparida seychellensis","Rhynchium brunneum","Sarcophagidae sp1","Scaptodrosophila undet sp1","Simosyrphus aegyptius","Tricimba seychellensis","Trypoxylon errans","Xylocopa caffra"
"Alstonia macrophylla",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,3,0,4,0,0,0,0,0,0,0,2,0,5,2,0,3,0,0,0
"Aphloia theiformis",0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campnosperma seychellarum",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0
"Canthium bibracteatum",0,0,0,277,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,17,0,0,0,0,0,126,0,3,0,57,1,0,0,0,0,0,5,0,14,3,1,0,0,0,6,0,1,0,2,1,1,1,0,0,1
"Chrysobalanus icaco",0,0,0,295,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,16,0,0,10,0,0,0,0,0,0,0,10,0,11,0,0,0,0,3,0
"Cinnamomum verum",0,0,0,74,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,8,0,0,27,1,7,0,1,0,0,1,0,0,0,0,0,18,0,4,0,1,0,1,2,4,0,0,0,0,0,0,0,0
"Colea seychellarum",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Craterispermum microdon",0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0
"Deckenia nobilis",0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,4,0,0,0,41,0,0,0,0,1,0,0,0,0,0,4,0,16,2,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0
"Dillenia ferruginea",0,0,1,222,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,94,0,0,0,1,0,0,0,3,0,5,0,1,40,2,1,1,0,2,0,0,0,23,0,0,0,0,0,0,4
"Dillenia suffruticosa",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44
