Order_all,Family_all,Genus_all,Species_all,subspecies,species_geonet,sex_or_flower_type,breeding_system,autonomous_selfing_level (none/low/medium/high),compatibility,compatibility_genus,info_level,asexual_reproduction,asexual_reproduction_type,agamospermy/apomixis (yes/no/some_populations),flower_colour ,flower_morphology,flower_pollinator_morphology,flower_symmetry,corolla_diameter_mean_mm,corolla_diameter_min_mm,corolla_diameter_max_mm,corolla_length_mean_mm,corolla_length_min_mm,corolla_length_max_mm,tube_length_mm,life_form,lifespan,plant_height_min_m,plant_height_max_m,plant_height_mean_m,references,reference_journal,doi,doi,doi,doi,doi,type_of_proxy_seed _or_fruit,open_pollination_percentage,open_pollination_n,hand_poll_outcrossing_percentage,hand_poll_outcrossing_percentage_n,hand_poll_self_percentage,hand_poll_self_n,spontaneus_selfing_percentage,spontaneus_selfing_n,geitonogamy_percentage,geitonogamy_n,apomixis_percentage,apomixis_n,intramorph_percentage,intramorph_n,stamen_length_mm,stamen_length_min_mm,stamen_length_max_mm,style_length_mm,style_length_min_mm,style_length_max_mm,ovary_length_mm,ovary_min_mm,ovary_max_mm,stigma_length_mm,stigma_min_mm,stigma_max_mm,pistil_length_mm,pistil_min_mm,pistil_max_mm,inflorescence_form,inflorescence_arrangement,inflorescence_length_mm,inflorescence_width_mm,inflorescence_comment,pollen_anther_mean,pollen_anther_sd,pollen_anther_n,pollen_flower_mean,pollen_flower_sd,pollen_flower_n,pollen_ovule_ratio,ovules_mean,ovules_sd,ovules_n,stamen_mean,anthers_exerted_yes_or_no,anthers_exerted_mm,pistil_mean,stigma_mean,stigma_exerted_yes_or_no,stigma_exerted_mm,flowers_inflorescences_min,flowers_inflorescences_max,flowers_inflorescences_mean,inflorescences_plant_min,inflorescences_plant_max,inflorescences_plant_mean,flower_plant_min,flower_plant_max,flower_plant_mean,flower_lifespan_days,flowering_time_days,nectar_yes_or_no,nectar_ul_day_mean,nectar_ul_day_sd,nectar_ul_day_n,total_nectar_ul_mean,total_nectar_ul_sd,total_nectar_ul_n,sugar_nectar_mg_mean,sugar_nectar_mg_sd,sugar_nectar_mg_n,sugar_concentration_mean,sugar_concentration_sd,sugar_concentration_n,fruit_type,fruit_colour,fruit_length_mm,fruit_width_mm,pollen_polar_length_um_mean,pollen_polar_length_um_min,pollen_polar_length_um_max,pollen_equatorial_length_mean_um ,pollen_equatorial_length_min_um,pollen_equatorial_length_max_um,pollen_polar_equatorial,mean_pollen_tube_growth_um_min,chromosome number,ploidy,location,country,references,reference_journal,doi,doi,doi,doi,doi,
Malpighiales,Euphorbiaceae,Croton,Croton scouleri,NA,Croton scouleri,separated,dioecious,none,dioecious,NA,male_flower,NA,NA,NA,yelowish white,disk,disk,actinomorphic,3.6,NA,NA,1,NA,NA,NA,tree,perennial,2,6,4,"rumeu 2016; wiggins,porter & anderson 1971",journal: journal of biogeography; book: flora of the galapagos island,https://doi.org/10.1111/jbi.12753,ISBN: 0804707324,,,,NA,,,,,,,,,,,,,,,18.5,15,22,2.4,2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,rumeu 2016,journal of biogeography,https://doi.org/10.1111/jbi.12753,,,,,
Malpighiales,Euphorbiaceae,Croton,Croton scouleri,NA,Croton scouleri,separated,dioecious,none,dioecious,NA,male_flower,NA,NA,NA,yelowish white,exposed,exposed,actinomorphic,2.5,NA,NA,1,NA,NA,NA,tree,perennial,2,6,4,"rumeu 2016; wiggins,porter & anderson 1971",journal: journal of biogeography; book: flora of the galapagos island,https://doi.org/10.1111/jbi.12753,ISBN: 0804707324,,,,NA,,,,,,,,,,,,,,,18.5,15,22,2.4,2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,rumeu 2016,journal of biogeography,https://doi.org/10.1111/jbi.12753,,,,,
Lamiales,Lamiaceae,Clerodendrum,Clerodendrum villosum,NA,Clerodendrum molle,bisexual,hermaphrodite,high,self_compatible,NA,flower,NA,NA,no,white,tube,tube,zygomorphic,22,NA,NA,22,NA,NA,17.5,shrub,perennial,2.5,4,3.25,traveset 1994; macmullen 1987,botanical journal of the linnean society; journal: american journal of botany,https://doi.org/10.1111/j.1095-8339.1994.tb01929.x,https://doi.org/10.2307/2444139ÿ,,,,fruit,3.6,110,2,101,0.6,158,1.3,151,NA,NA,0,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,traveset 1994; macmullen 1987,botanical journal of the linnean society; american journal of botany,https://doi.org/10.1111/j.1095-8339.1994.tb01929.x,https://doi.org/10.2307/2444139ÿ,,,,
Sapindales,Burseraceae,Bursera,Bursera graveolens,NA,Bursera graveolens,separated,dioecious,none,dioecious,NA,flower,NA,NA,NA,white,campanulate,campanulate,actinomorphic,4.8,NA,NA,4,NA,NA,NA,tree,perennial,5,7,6,"matthew 1995; wiggins, porter & anderson 1971",journal: kew bulletin; book: flora of the galapagos island,https://doi.org/10.2307/4118732ÿ,ISBN: 0804707324,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,matthew 1995,kew bulletin,https://doi.org/10.2307/4118732ÿ,,,,,
Sapindales,Burseraceae,Bursera,Bursera graveolens,NA,Bursera graveolens,separated,dioecious,none,dioecious,NA,flower,NA,NA,NA,white,campanulate,campanulate,actinomorphic,4.8,NA,NA,4,NA,NA,NA,tree,perennial,5,7,6,"matthew 1995; wiggins, porter & anderson 1971",journal: kew bulletin; book: flora of the galapagos island,https://doi.org/10.2307/4118732ÿ,ISBN: 0804707324,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,matthew 1995,kew bulletin,https://doi.org/10.2307/4118732ÿ,,,,,
Boraginales,Boraginaceae,Tournefortia,Tournefortia psilostachya,NA,Tournefortia psilostachya,bisexual,hermaphrodite,medium,self_compatible,NA,flower,NA,NA,no,brown,tube,tube,actinomorphic,5,NA,NA,5,NA,NA,3.2,tree,perennial,0.1,0.5,0.3,traveset 1994; macmullen 1987,journal: botanical journal of the linnean society; journal: american journal of botany,https://doi.org/10.1111/j.1095-8339.1994.tb01929.x,https://doi.org/10.2307/2444139ÿ,,,,fruit,7,372,0,22,80.6,36,24.6,398,NA,NA,0,69,,,,,stamen length max,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,traveset 1994; macmullen 1987,botanical journal of the linnean society; american journal of botany,https://doi.org/10.1111/j.1095-8339.1994.tb01929.x,https://doi.org/10.2307/2444139ÿ,,,,
Malvales,Sapindaceae,Cardiospermum,Cardiospermum galapageium,NA,Cardiospermum galapageium,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,white,complex,complex,zygomorphic,8,5,11,5,NA,NA,NA,vine,perennial,3,4,3.5,"wiggins,porter & anderson 1971",book: flora of the galapagos islands,ISBN: 0804707324,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,,,,,,,,
Malvales,Malvaceae,Gossypium,Gossypium darwinii,NA,Gossypium darwinii,bisexual,hermaphrodite,high,self_compatible,NA,flower,NA,NA,no,yellow,bowl,bowl,actinomorphic,70,50,90,36,NA,NA,NA,shrub,perennial,1,3,2,"wiggins,porter & anderson 1971",book: flora of the galapagos islands,ISBN: 0804707324,,,,,seed,41,15,NA,NA,39,8,0,10,NA,NA,0,10,,,,,,35,20,50,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,1971,book,flora of the galapagos islands,,,,,
Boraginales,Boraginaceae,Tournefortia,Tournefortia pubescens,NA,Tournefortia pubescens,bisexual,hermaphrodite,medium,self_compatible,NA,flower,NA,NA,no,white,tube,tube,actinomorphic,3.26,NA,NA,3.91,NA,NA,NA,shrub,perennial,1,4,2.5,"wiggins,porter & anderson 1971",book: flora of the galapagos islands,ISBN: 0804707324,,,,,fruit,14.7,504,NA,NA,NA,NA,9.7,359,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,1971,book,flora of the galapagos islands,,,,,
Boraginales,Boraginaceae,Cordia,Cordia leucophlyctis,NA,Cordia leucophlyctis,bisexual,hermaphrodite,none,self_incompatible,NA,flower,NA,NA,no,white,campanulate,campanulate,actinomorphic,9.71,NA,NA,7.38,NA,NA,NA,shrub,perennial,1,2.5,1.75,macmullen 1987,journal: american journal of botany,ÿhttps://doi.org/10.2307/2444139ÿ,,,,,fruit,12.4,249,0,51,0,171,0,257,NA,NA,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,galapagos,ecuador,,,,,,,,
