"","Apis mellifera","Atrichopogon yamabukiensis","Cardiophorus sp1","Cecidomyiidae sp1","Celama sp1","Cephonodes tamsi","Chaetonerius alluaudii","Chironomus sp","Chloropidae sp1","Cinnyris dussumieri","Coleoptera sp1","Coleoptera sp3","Cossonini sp2","Cratopus aurostriatus","Cryptorhynchidius graniger","Dasyhelea tamsi","Delta alluaudi","Dermestidae sp1","Dichaetomyia fasciculifera","Elateridae sp2","Endotricha mesenterialis mahensis","Forcipomyia (Euprojoannisia) sp1","Forcipomyia (Microhelea) amieuensis","Forcipomyia (Thyridomyia) litoraurea","Geron seychellarum","Hemipyrellia germana","Herpetogramma sp1","Hymenoptera sp1","Lasioglossum mahense","Lobosciara bilotata","Lygistorrhina sp","Mordellistena coleae","Musca domestica","Nola sp1","Ornidia obesa","Pachycerina seychellensis","Phelsuma sp","Physiphora azurea","Ptinidae sp1","Pyralidae sp1","Rhiparida seychellensis","Scaptodrosophila undet sp1","Scaptodrosophila undet sp2","Sciaridae sp1","Simosyrphus aegyptius","Smitta mahensis","Tricimba seychellensis"
"Alstonia macrophylla",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aphloia theiformis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cinnamomum verum",32,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Erythroxylum sechellarum",76,1,0,0,0,0,0,1,0,3,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,20,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"Excoecaria benthamiana",16,0,0,0,0,0,0,1,1,0,0,2,0,1,0,9,0,0,0,0,0,1,0,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ixora pudica",7,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Memecylon elaeagni",15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Mimusops sechellarum",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nepenthes pervillei",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0
"Nephrosperma vanhoutteanum",16,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,2,1,0,0,1,0,0,77,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0
"Northea seychellana",0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Paragenipa lancifolia",3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pittosporum senacia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Psidium cattleianum",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychotria pervillei",8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Pyrostria bibracteata",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roscheria melanochaetes",6,8,21,5,0,0,0,0,0,0,0,0,3,0,0,44,0,2,3,2,0,28,5,3,0,0,0,1,6,2,7,14,5,0,0,0,2,1,0,0,7,3,3,1,0,0,1
"Timonius flavescens",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
