sp,GenT,H,La,GrowSSD,RepSSD,S,R,Kingdom,Sessi
Abies balsamea,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Abies concolor,42.49104708,1.239088329,23.00048793,0.055311733,0.016180366,0.31965217,Terrestrial,Plantae,Sessile
Abies homolepis,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Abies magnifica,43.93283356,1.141075893,24.36704272,0.053744538,0.014575369,0.529384493,Terrestrial,Plantae,Sessile
Abies sachalinensis,17.29989816,0.906789976,9.412317793,0.057033449,0.021870561,1.106406765,Terrestrial,Plantae,Sessile
Acacia aneura,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Acacia suaveolens,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Acacia victoriae,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Acer palmatum,225.1507635,2.13712422,135.0481408,0.051305984,0.051318703,1.739085797,Terrestrial,Plantae,Sessile
Acer pictum,47.56143069,1.474510862,23.93617202,0.052689287,0.054755419,0.942519698,Terrestrial,Plantae,Sessile
Acer rufinerve,66.94680806,1.982821611,79.4065982,0.05058268,0.050428788,0.729997567,Terrestrial,Plantae,Sessile
Acer saccharum,6.162885698,0.671515566,4.366184398,0.169361844,0.373275555,0.97055607,Terrestrial,Plantae,Sessile
Acinonyx jubatus,14.86979028,NA,5,0.027725955,0.014783323,0.524193922,Terrestrial,Animalia,Mobile
Acropora cervicornis,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Sessile
Acropora downingi,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Sessile
Actaea cordifolia,12.03069314,0.282148195,2.554001554,0.06491406,0.01199721,0.612981633,Terrestrial,Plantae,Sessile
Actaea elata,8.180199118,0.360582921,5.834954733,0.095495352,0.063024949,0.577976208,Terrestrial,Plantae,Sessile
Adenocarpus aureus,13.35715855,0.660085857,4.067682128,0.208683883,0.031389669,0.035075369,Terrestrial,Plantae,Sessile
Adesmia volckmannii,12.81965465,0.043947489,3.25,0.309043124,0.064614897,0.672253428,Terrestrial,Plantae,Sessile
Aechmea magdalenae,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Aepyceros melampus,NA,NA,NA,NA,NA,NA,Terrestrial,Animalia,Mobile
Aeschynomene virginica,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Aesculus turbinata,138.5661813,2.13836378,54.36608828,0.046123133,0.034236195,1.658190451,Terrestrial,Plantae,Sessile
Agaricia agaricites,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Sessile
Agave marmorata,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Agave potatorum,35.40652295,0.292511221,12.29659586,0.020880848,0.002812243,1.562499804,Terrestrial,Plantae,Sessile
Agave vivipara,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Agrimonia eupatoria,42.2105813,0.892999961,7.387954107,0.150664453,0.025246312,0.11516576,Terrestrial,Plantae,Sessile
Agropyron cristatum,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Ailanthus altissima,19.0767191,1.066236452,6,0.000687947,0.05145242,0.247919989,Terrestrial,Plantae,Sessile
